screen_name,followers,friends,total_tweets

ryrzny,1203,343,373

MilleVanille3,0,24,0

Brijeshpandyaa,12,151,62

XanderS41966289,0,5,0

wh_kosasih,3,54,22

ArcanjoNestor,5,127,0

_nitesh_singh,3,73,6

mgreenNine,9,50,11

baily_connor,1,20,0

imdadf27,0,8,0

Timur94080363,0,12,0

AprilJa07465122,0,100,1

Shubham47531806,7,288,238

ashcarp0302,4,114,0

anshfrdy,13,496,202

twist2099,2,38,24

ParmesanY,2,56,3

viren_warring,1,83,0

Adilet38898634,0,31,0

bakura_yamimode,23,708,3805

kikibond,247,361,1134

aib_tf,0,9,0

DinkoHafizovic,1,19,0

anthosamnas,16,271,284

Mario78850304,0,9,0

nanivarun,24,8,11

Pg57T,0,11,1

maxfpc2,3,61,1

ReynaldoSambri6,44,1246,23

jared_schottin,1,10,1

kieranjferg1967,5,67,4

LxOEgfiayagDUF6,0,11,0

PrestigeElectr3,0,5,0

SudipGhorai1,35,821,23

LarreaGil,0,7,0

rickvela10,15,75,10

JAYANTINGALE6,0,51,0

shivamparashar4,2,51,5

suhappyguy,0,16,0

bryanburtonbar1,1,33,0

SchuBock,0,6,2

JabSiwela,0,171,0

Hayden59277894,0,11,0

Vaishna01690907,0,27,0

Fernand62941410,0,36,0

Ahsuil,405,2020,1392

Nikki24995047,0,74,0

Brandyl33789137,0,19,14

elihampton_,47,172,236

wQfjhihsKuaFImx,1,31,0

WBalanche,0,6,0

DiscoDu06012850,1,115,0

Yephery,66,152,185

LucianoCant2,0,52,0

shay_sher,16,156,35

ASKornosor,137,1901,58

moduke888,10,106,20

PoinclouxY,0,32,0

rbot48,0,55,0

KShab0,2,65,0

4455Arun,3,73,87

Alondra52995979,0,14,0

musadiq_y,0,66,0

rodrigoguerrer0,202,461,2720

nicodbsn,104,175,3601

SumanBi19479374,2,124,32

Whitney77647068,3,45,0

Max54795994,2,67,0

freshdewsfarms,18,171,39

Pedraoh_png,0,236,1

fernand49289714,0,19,0

delyarbashori,22,343,28

CarlosM30328975,0,41,0

shimamajid2,0,10,0

angel04729710,0,3,0

Cr1spyB,2,10,1

Sexychopsticks,109,205,7

RonDonnie1,0,5,0

_nlcn,62,142,284

ljhkorea,0,10,0

RishiAamir,15,85,20

benzochurro,1,49,4

rockdrigocr,51,258,1208

Gerardo77042279,0,108,0

cesarcastanedo1,2,14,0

FaliaJay,1,92,0

carlos34811712,6,104,0

theo23490,1,17,1

joseph03128352,1,9,1

Ludmila87545491,0,62,0

ErImmature,1,167,0

BrakenridgePaul,1,117,2

Vittalr17964845,1,333,84

vidushiiluthra,25,54,26

Graham72985761,0,33,0

ela_zx,50,396,61

DaleKlaver,0,53,0

MidasInhell,1,19,1

OmkarRa56691982,1,100,0

mariogv201,58,478,9

VolpiFred,144,249,147

gizliolmakiste1,5,176,0

Retebitall,25,145,62

shahediin,0,35,2

i_adityaprakash,2,60,0

jwfabian3,7,46,1

NikhilA46631337,2,86,0

HyFlipped,1,51,1

blertablertad,0,15,0

Segun_Davide,112,324,449

Garris_Roullet,0,93,0

bhupesh_satija,4,82,24

DmytroKhyzhniak,0,4,0

BrodyChitwood,0,17,0

ANANTHR69023033,0,47,0

Pedrich4,2,26,1

MRajaSon,0,90,0

ayodeleplus,5,58,24

frang0frit0,0,45,1

AhmedShahazeem,0,17,0

posholnahui5,0,42,0

MoncefOujeghbi,2,90,3

NickZequeira,6,47,4

LeivaLito,128,814,1137

Darek89506867,0,33,0

kiranvidhate13,0,11,0

Asquare23,481,407,24636

sangrui,7,212,20

chamath5597,9,143,94

RahmanGowher,8,108,2

BenChap41203606,0,3,15

lgrzr,16,165,26

galaxy26150390,3,107,0

DPS_LunarSpark,0,11,2

HistorySummers,1,44,0

LopezBrahian,9,64,38

DjSpydaa,1606,1686,3567

ExecutiveRascal,1,16,0

Sekai0x,1,44,0

mbrillant974,0,51,0

gab28113635,0,198,0

Mohaly53963062,0,17,3

Traco29205057,3,125,0

AndersonBrunoFS,65,1314,69

SatishChellu4,1,81,0

mdrhsumon,36,674,62

arizbethfranci1,5,68,4

EpanovSD,0,8,0

dnxdanikka,7,76,15

Jacob22504193,0,46,0

IB04245786,0,3,0

LoftsgardNaomi,0,27,0

IYYCzqR874v7lAj,0,89,0

SridharCP1,9,23,0

kyleahrens9,6,52,3

Karthi_1502,4,245,1

AyushAg95167194,0,60,0

oman_rubiano,0,37,4

Vizia219,10,49,32

shivam_970,2,50,9

857Dylan,2,53,0

hpsetti,18,281,15

wildcatzone,191,339,530

JAM__NOW,593,290,1572

sagarotia,102,598,448

_tony_huang,8,116,17

ArpitAg68127570,3,109,0

Jymaeljaystone1,0,106,1

OmarRainford,0,16,1

bthntrgy29,1,62,6

8TXdgZXTMRASK2C,0,6,1

TheCubes9,12,366,74

ChoseaCz,2,96,0

RajeshTanwani4,10,88,134

zaccastillo4,0,7,5

sok100mailru1,1,11,0

viniciusemoraes,67,158,1848

Rayna34005760,2,31,42

RickyVa41795003,2,15,0

GarrettReaugh,1,4,0

CharlotteGrudz1,0,80,0

D3Montiel,1,7,1

Brijesh63085033,0,59,4

PetranAdrian1,3,61,0

kamalteja4095,5,85,16

FtouhMahjoub,0,146,0

JaeSungPark17,2,20,0

mbf10627242,0,58,0

AlfonsoMariaDe1,14,216,5

AbhiPat96326992,1,48,0

charles70079158,2,33,0

Promo95614133,10,196,100

Harde77998694,3,49,1

FunnyBros12,11,282,193

tnbchill,14,133,26

HaswinBaskaran,11,53,2

cx0smo,0,100,1

akshay_malviya,12,173,2

Georges12323609,2,122,0

Mohit73731316,2,92,0

Pam_SandovalJ,220,390,9418

SakyoudAnas,2,59,0

OfPaying,0,20,1

MadelineMorella,815,469,5957

AAlhelal16,1,29,0

BukrePakyldz,6,165,1

Waadazab1,1,144,0

ElshireMitchel,0,5,1

f1gment,50,115,160

AhmedNa43034757,3,96,4

Methylxanthine,0,6,10

Clayton_Rogue,738,144,716

BrandonTHines,11,57,8

chef_mikko,84,351,1172

SpaceJoe3,0,8,0

bbbb09215758,0,166,0

LaetitiaTurcq,15,140,0

AjayPal87471873,4,19,0

dainikpatel0,25,153,5

angellaj11,3,22,0

dineshmspd,63,489,22

terryg29857002,1,32,0

mosley_collin,3,48,0

neal_mcauley,3,49,0

______RX5,0,99,0

Soju22438540,1,132,0

axvan_armeniatv,121,311,445

dtium,4,253,0

GelineauTaylor,0,6,1

RChooni,1,94,0

Abdulla49179097,0,55,0

Karina63176971,0,21,3

PratulShanKhdh2,0,22,0

VerduenntesZeug,13,138,46

stefanoheringer,16,355,43

JuliaBr14725978,0,117,2

NovemdecillionR,3,41,1

ismael_ishmael,1,9,0

MasindeGraham,11,247,0

Realvegasinfo,1,39,619

VGargeshwari,1,174,22

NoahNor54136158,3,43,0

chairulemry,853,1483,592

DBunceanu,3,145,0

Charsy18,1,33,5

tonymarceau2,2,104,110

InvolvedInIt,13,355,376

xenosonic,10,43,51

meninaven1,1,92,8

HuzefaAzad1,1,55,0

HerbertHartzel1,4,107,0

TonyBitter2,2,72,0

thehogslammer,22,126,18

jackwan69547268,1,18,0

MerlynPangilin2,1,130,4

RaheemK41712993,0,23,0

Shivang44055591,1,31,0

Corexist,6,169,189

gudigavineeth6,0,6,0

MdSohag42479576,430,2559,278

AmandaKlug5,8,116,4

el_1io,124,658,73

Connor60421064,0,47,3

DeStinson,13,35,3

HassanN58058170,5,302,24

CarlosS47952914,1,28,0

winnetoe_,4,57,61

Clayton41900287,0,14,0

DrApril_DC,2,12,0

Michi8882,1,12,3

TaylorU06585387,1,66,0

pusuku,19,21,0

NickSG_x,3,92,0

ThulaniJemias,9,6,10

ARLedbetter,18,152,60

acenix6211,4,73,3

HadhamiAbd,0,106,2

Not_Rajendra,1,43,0

Jackson73453004,1,34,4

GamingAwe1,3,18,34

tsoleva,20,92,101

Fredyhandyman,18,128,47

lakito15,0,2,0

alden_robles,6,80,0

carlo_rinomato,1,66,2

Angel35489679,0,27,1

fs03151993,53,536,302

Yoshan89619081,0,4,0

Rami89Haddad,48,308,61

ContactLanka,2,93,0

jluis_ao,1222,1297,2048

laneyhenson3,2,102,0

ESHAAN28477352,0,142,0

elpradoni,260,494,7123

VijaySheth16,1,31,0

AQ77913614,0,70,0

huX1cOU9bzk9V3K,1,56,0

angelic47385370,0,284,0

mahamoaz19,66,606,726

mrmithleshkum12,1,124,4

JoeHappies,1,39,0

SuhasUdayakumar,5,16,5

ersin1508,1,61,0

Elena25399877,8,327,1

wendy_ae,43,520,41

YwhLabs,3,170,2

HarshitNamdeo9,4,81,6

ofek305,1,63,35

ayala_tinajero,55,167,1

cndieapples,25,294,124

CC82164188,2,22,0

VivanGlass,26,191,191

jesse31568889,1,65,0

KeGeex,4,34,18

ATS64162982,1,37,0

gochichi,7,35,9

Bill69497877,0,18,21

JamesBordeaux13,5,117,0

mmmmarigo,42,179,162

ChandanKunj,2,81,0

MikeBrooke19,4,57,0

Funkweston1,10,131,6

malea_tom,0,10,0

Hemantp45026016,1,66,0

AtchisonBernard,63,194,103

PKennethMathes1,2,104,0

MarcOlivierAll1,3,48,0

CThunder36,2,34,3

Frind59569385,0,42,1

Walla931,1,51,1

Akshay11495988,11,130,2

JooAzul4,4,39,0

Mac7472,0,8,0

Landan59020292,1,32,0

JohnCen00387207,0,21,0

salvat_marie,0,37,0

Siphama92830539,16,192,2

