screen_name,followers,friends,total_tweets
Dominman1,0,11,1

StrombeckDrew,0,27,0

benardLouis73,32,513,21

marksburguer,56,323,54

FreedomNetTech,109,207,6692

viraj_mp,3,171,0

natashasiler23,17,128,19

SURYAKA28308885,1,191,0

LausonSteve,0,13,2

VenkatprabuM,0,14,0

mumu04374580,2,42,0

xenocide420,25,62,461

garrad20,0,66,6

Luvlace_87,3,60,81

SerxhioGugo,3,115,3

seegree25506981,3,45,0

bubbyyby,7,57,10

d_peck5,0,9,0

_vesuvius1994_,0,136,0

Austin92371202,0,12,2

jorgematas13,0,27,1

wJack63273286,0,26,2

ZzkcLEranaK,182,844,17853

Bailey57656925,1,40,1

Michael47462275,2,34,11

hello_tenny,4,30,0

Zachary65617725,2,6,0

FourHealing,0,7,1

Bharath23283882,0,116,0

MohammadMagd1,6,50,0

jason96669,2,15,5

AbzaletdinovD,2,6,9

Atlassmusic0803,9,161,60

MaybeSatan2,0,8,0

KaramzadehThea,3,49,0

BiswAka,2,100,1

AbidurAlvi,1,47,0

ROHITKU07855459,0,25,0

MrsWhitneyCP,11,101,1240

GOTGOODNEWS,71,1627,83

Kimberl90709707,235,260,44

TaterSalad37,11,40,160

Ami27069545,1,51,0

HemmRenee,0,71,1

ShubhamJain_07,10,182,2

JPnogueira92,4,19,4

benjamin_cocco,5,55,0

XxXspeedracer,2,20,0

ndfmustafa,4,46,28

_itis_rahul,0,6,5

OkinawaVintage,36,203,252

sugarhottie6,4,14,31

MarcusSanta2,0,12,0

Shekhar44874765,1,37,1

LauraGo28450409,0,30,0

brucery29217561,3,19,37

Wielosmak1,2,34,0

XabisoMcitwa,1,34,0

Bunnypraneeth12,2,83,6

James46446396,0,2,0

