,Unnamed: 0,id,cleaned_word_list,cleaned_word_list_nouns
79,79,1208714811346829313,go boxing day dish glazed ham year putting peach clove spiked gammon,day year peach clove gammon
80,80,1208352423200350208,looking snow filled post christmas escape plot course brilliant white vistas fun winter activities,snow post christmas escape plot course vistas winter activities
81,81,1208073361517170693,finesse roast potatoes ultimate recipe masterchef king kitchen,finesse roast potatoes recipe masterchef king kitchen
82,82,1207627650879172609,feeding vegetarian guests christmas tick veggie centrepiece list jos pizarro wild mushro,guests veggie centrepiece list jos mushro
83,83,1207265269028143109,sat bed sliced tomatoes cucumbers crimson hued olives tossed creamy feta making base,bed tomatoes cucumbers olives feta making base
84,84,1207208633983012865,stuck festive pudding serve like old fashioned pud espresso tart combines cof,pudding serve pud tart combines cof
85,85,1206986236528869377,party snacks sorted festive sweet salty nut selection happy,party snacks salty nut selection
86,86,1206623790073044992,wake greek inspired breakfast amalgamation freshly cut fruit beside galaktoboureko,wake greek breakfast amalgamation galaktoboureko
91,91,1206531572142411777,shaking,
92,92,1206523683600314368,festivities full swing food travel hq polish party prep january issue hitting,festivities food travel hq party prep issue
93,93,1206178096967299072,brush chill bleak winter day comforting cheese rich dish evokes memories alpine sk,brush chill winter day dish evokes memories sk
94,94,1205815712180264961,bright brash vegas always entertaining beyond razzamattaz influx top chefs making ci,brash vegas chefs ci
95,95,1205536643639328770,traditional domed santorini villas dazzling infinity pools fine dining alios ilios restaurant,villas infinity pools ilios restaurant
96,96,1204087104126492673,light fruity seasonal take traditional swiss roll makes perfect contrast heavier christmas de,fruity roll contrast christmas
97,97,1204003774966222848,bedecked bedouin charm biscuits coloured tents scattered across wadi al abiyad landscape conceal,charm biscuits tents wadi al abiyad landscape conceal
98,98,1203641387721228289,topped crumbly pangrattato made sourdough walnuts garlic rosemary grilled chicory makes,pangrattato walnuts chicory
99,99,1203278991429455874,renowned certain insouciance india smallest state come long way since hippy trail days fleur ro,insouciance india state way trail days ro
100,100,1203026377185923073,pour well deserved friday night vino nearly time cosy cruises,night vino time cruises
