,Unnamed: 0,id,cleaned_word_list,cleaned_word_list_nouns
1012,1012,1228185115689283585,home meetings leicester scoreline time,home meetings time
1013,1013,1228129497913925633,scored winning goals since joining player,goals player
1014,1014,1228096009370099713,edge,edge
1015,1015,1228033218743541762,rt watch live players around uk battle anfield see represent reds,watch players battle reds
1016,1016,1228016196655689729,message clear time players discuss importance mental wellbeing,message time players importance mental wellbeing
1017,1017,1228002169384771585,rt join conversation mental health weekend using,rt join conversation health weekend
1018,1018,1227993255964442624,rt getting stronger taking care avoiding kind contact course updates adama traore,rt care kind contact course traore
1019,1019,1227972665102782464,going squad,squad
1020,1020,1227954918113280001,rt sd explains ashley barnes jbg continue rehab still available weekend game,rt sd barnes jbg rehab weekend game
1021,1021,1227949828283490304,rt manager hopeful fit enough feature weekend making positive return tra,rt manager feature weekend return tra
1022,1022,1227949707927924742,fantastic five put past newcastle,past newcastle
1023,1023,1227930586590916608,rt hakim ziyech news,rt hakim news
1024,1024,1227921441640845313,rt news wes wilf papy jamo manager co fm wl,news wes wilf papy jamo manager co fm wl
1025,1025,1227900095745740801,kitson curler,kitson curler
1026,1026,1227874318991970305,villans looked assured possession clarke thinks aston villa new setup,villans possession clarke setup
1027,1027,1227842086193573888,mental health problems affect anyone concerns friend colleague loved one always ask,health problems anyone concerns colleague
1028,1028,1227738403036205056,stop watching,stop watching
1029,1029,1227703188222029824,back,
1030,1030,1227678535885651968,best snaps season far,snaps season
1031,1031,1227671271967744005,rt delighted announce alex tettey signed one year contract extension carrow road co,rt announce tettey year contract extension carrow road co
1032,1032,1227641030612267009,expecting goals,goals
1033,1033,1227616696946614272,stereotype health problems affect anyone concerns friend colleague,health problems anyone concerns colleague
1034,1034,1227611671268593676,rt iiiiiiit teqball time martial fernandes fred pereira,rt time fernandes pereira
1035,1035,1227606314270019584,predictions,predictions
1036,1036,1227592708065255428,defend crown next epl club playoffs,epl club playoffs
1037,1037,1227568741803839488,years ago,years
1038,1038,1227568048237948928,rt chuffed bits nah skipper teaches sander local dialect full feature coming https,rt bits teaches dialect feature https
1039,1039,1227544175983370240,rt,rt
1040,1040,1227540236961550336,incredible ashley barnes,ashley barnes
1041,1041,1227534499665338369,rt happy birthday nico general turns today,rt birthday turns today
1042,1042,1227528293768933376,great day,day
1043,1043,1227515198979833856,aston villa make history win sunday,aston villa history win sunday
1044,1044,1227417813897400329,man city west ham rearranged next week,man city ham week
1046,1046,1227328466544185352,setting tempo,tempo
1047,1047,1227306436914565122,future stars,stars
1048,1048,1227286956100521984,stars hard work mid season player break,stars work mid season player break
1049,1049,1227261069590134786,rt fixture update city west ham etihad stadium wednesday february uk https,fixture city ham stadium wednesday https
1050,1050,1227250412325044224,scored twice goal thriller,goal thriller
1051,1051,1227237014396796933,rt xbox ps representatives next month finals good luck lads,rt xbox ps representatives month finals luck lads
1052,1052,1227236804564115463,rt see inaugural club play offs unfolded friday night cameo appearances mario onel,rt club play offs night cameo appearances mario onel
1053,1053,1227236731520507904,rt epl take look back epremier league club play offs turf moor,rt epl league club play offs moor
1054,1054,1227212659050897408,rt boss gives update,rt boss
1055,1055,1227190839144779776,classy team move wolf pack,classy team move wolf pack
1056,1056,1227171025852551169,rt congratulations player month january,rt congratulations player month january
1057,1057,1227167832619855872,arguably done better job klopp heaps praise boss,job klopp heaps boss
1058,1058,1227156672814157824,much looking forward seeing mane back action fans,mane action fans
1059,1059,1227154928281387008,happy birthday,birthday
1060,1060,1227151659471687681,rt cumplea,rt cumplea
1061,1061,1226998024737611776,put past chelsea year ago,chelsea year
1062,1062,1226983679848787971,time mental health joined hrh,time health hrh
1063,1063,1226928658813726725,rt leon birthday blades forward leon clarke,rt leon birthday clarke
1064,1064,1226919152524447750,rt getting hands training matt macey work dubai https,rt hands matt macey work dubai https
1065,1065,1226917856060813320,rt look neves,look neves
1066,1066,1226914207008018433,rt keeping graft day warm weather training,rt day weather training
1067,1067,1226901577488883712,strike fabio borini,strike fabio borini
1068,1068,1226894560737005573,rt back melwood,rt melwood
1069,1069,1226886310536806400,favourite premier league player time,premier league player time
1070,1070,1226885716631793664,rt back work feels gooooood,rt work feels gooooood
1071,1071,1226876323873857537,competitive taa andy robertson comes assists,taa andy robertson assists
1072,1072,1226845242869112834,best,
1074,1074,1226811702156648454,winning one,
1075,1075,1226809819354615811,rt brilliant birthday naby,rt birthday naby
1076,1076,1226807201605521408,happy birthday naby,birthday naby
1077,1077,1226806045890183169,happy birthday miguel,birthday miguel
1078,1078,1226805579508862976,rt happy birthday miguel almir,rt birthday miguel almir
1079,1079,1226800993104547841,keeping opponents,opponents
1080,1080,1226722977607245824,striker callum wilson scored two last three appearances,striker callum wilson appearances
1081,1081,1226683217379459075,scored goals via substitutes season club,goals substitutes season club
1082,1082,1226644444633452544,whip,whip
1083,1083,1226612262347182080,king match winners put best performance,match winners performance
1084,1084,1226607584955846663,rt proud support campaign yesterday,rt support campaign yesterday
1085,1085,1226607062991482880,rt big win,rt win
1086,1086,1226606736863309826,rt deeney met duke,rt deeney duke
1087,1087,1226591914171957249,getting tight bottom,bottom
1088,1088,1226567953220546560,weekend results,weekend results
1089,1089,1226565208874897409,rt keep fighting,rt fighting
1090,1090,1226551657351327746,rt march,rt march
1091,1091,1226545194499223552,fantastically looking teams ahead try catch europe head,teams europe head
1092,1092,1226534800787374081,blades take points,blades points
1093,1093,1226532117259149318,goal sheff utd afc bournemouth mins utd take lead lys mousset feeds ball john lundst,goal sheff afc bournemouth lys mousset feeds john lundst
1094,1094,1226522137600589824,play second half,half
1095,1095,1226518534651629568,half time sheff utd afc bournemouth wilson put visitors ahead level break,half time afc bournemouth wilson visitors break
1096,1096,1226517979858378752,goal sheff utd afc bournemouth mins blades back level afc bournemouth clear corner,goal sheff afc bournemouth mins afc bournemouth corner
1097,1097,1226514663959035904,rt super cal,rt cal
1098,1098,1226509576020922369,goal sheff utd afc bournemouth mins bournemouth made bright start take lead harry wil,goal sheff afc bournemouth mins start harry wil
1099,1099,1226506070878773253,one go,go
1100,1100,1226503143544016898,rt warm time lane,time lane
1101,1101,1226497632564064256,rt sheffield united,sheffield
1102,1102,1226491138770640896,rt chris wilder names unchanged side berge makes bramall lane debut didzy back squad,rt chris wilder names side berge lane debut squad
1103,1103,1226491044612714500,rt team news one change xi surman replaces suspended lerma great king stacey,rt team news change xi surman replaces king stacey
1104,1104,1226487421954596864,takes points,points
