,Unnamed: 0,id,cleaned_word_list,cleaned_word_list_nouns
1796,1796,910212678878035968,shop good cause check items donated top fashion editors proceeds benefit,shop cause check items fashion editors proceeds
1797,1797,909911644838363136,rt editor makes statement sleeves feel fresh,rt editor statement sleeves
1798,1798,909852589356851200,rt built career around passion people amp purpose journey amp advice new leaders,rt career passion people journey amp advice leaders
1799,1799,908805149551988736,batter chance score exclusive memorabilia rookie phenom aaron judge,batter chance score memorabilia phenom aaron judge
1800,1800,908767486719426561,fashion week may always style make every week new looks,fashion week style week looks
1801,1801,908707307919495169,thinking new make easy buy sell phone without leaving home,make phone home
1802,1802,908480552767979520,look best shows style post pic sketch could next rule,look shows style post pic sketch rule
1803,1803,908450324565958656,kick new season show spirit favorite teams got covered,season show teams
1804,1804,908405016985251840,need design inspiration shop showcasing heritage craftsmanship made usa,need design inspiration shop heritage craftsmanship
1805,1805,908072827181551628,shop hot demand fall makeup plus free shipping,shop demand fall makeup shipping
1806,1806,908042742021926912,new thing thing tag photo sketch could next rules,thing thing tag photo sketch rules
1807,1807,908014943647215619,rt ebay partners fashion marketplace spring growing rivalry amazon wal mart,rt partners fashion marketplace spring rivalry amazon mart
1808,1808,907982287031152640,little bit little bit get inspo shop sketch,bit shop sketch
1809,1809,907755794548105217,discover extra savings gear need get away way,discover savings way
1810,1810,907710448337866754,valets selling get paid get started see much stuff could worth,valets get get stuff
1811,1811,907665238018977793,wait longer see iphone worth today easy even walk selling clic,wait today clic
1812,1812,907363200886288387,help bring clean water people need one kind items experiences supports,help water people kind items experiences supports
1813,1813,906985668005462016,find perfect piece look make get inspo shop sketch,piece look get inspo shop sketch
1814,1814,906593086754697218,white nike collaboration impossible find unless know look check ebay,collaboration find look check ebay
1815,1815,906532987386331136,check newest addition curated antiques welcome,check addition antiques
1816,1816,906291077824610305,chance dine favorite nfl network hall famer proceeds benefit charity,chance dine nfl network hall famer proceeds charity
1817,1817,906215597603774464,shop latest looks womens jeans college like nobody else,shop womens jeans college nobody
1818,1818,906170460265746433,always style post pic sketch could next,style post pic sketch
1819,1819,905898532183429120,mix match make put together perfect look inspo sketch,mix match look inspo sketch
1820,1820,905860739537055745,time dylan kota met personal shopping assistant ebay shopbot,time dylan shopping assistant ebay shopbot
1821,1821,905807926736105474,represent squad game day essentials co gfbasqribj,represent game day essentials gfbasqribj
1822,1822,905536133634908162,always struggle shop stuff helps get stuff done,struggle shop stuff
1823,1823,905460691984900096,fashion week sketching styles inspire post best look amp rules,fashion week styles post look amp rules
1824,1824,905162242580209664,check sports auctions proceeds go relief,check sports auctions proceeds relief
1825,1825,905087011102523392,celebrating fashion celebrating welcome start shop fall looks,fashion start shop fall
1826,1826,904713187509096448,use laborday save select home outdoor tech ends,use laborday home outdoor tech ends
1827,1827,903693954310225921,prepare relax day around corner got plans ebay help perfect,day corner plans help
1828,1828,903633566587797504,court campus knows college style check picks,court campus college style check picks
1829,1829,903384424577978372,pre owned car represent great value buy review point checklist,pre car represent value point checklist
1830,1830,903316476613898240,go style unique picks,style unique picks
1831,1831,903278732772872193,shop latest looks mens jeans college like nobody else,shop mens jeans college nobody
1832,1832,903271727245004800,shop latest looks women jeans college like nobody else,shop women jeans college nobody
1833,1833,903048723822993413,team fires mustang fastback inaugural revving engine,team fires revving engine
1834,1834,902969238306082818,wear later summer fall looks starting,wear summer fall
1835,1835,902908957202796544,let help elevate walls unique art backed money back guarantee,help walls money guarantee
1836,1836,902599250453790720,campus way essentials,campus way essentials
1837,1837,902583394500005888,join us supporting ongoing relief efforts one four charities ebay matching donations,relief efforts charities donations
1838,1838,902561583808868353,head back class style save selection backpacks starting,head class style selection backpacks
1839,1839,902304839543255041,go behind scenes fall fashion shoot tell us excited wearing fall,scenes fashion shoot fall
1840,1840,902184329719230464,keep car upholstery carpeting dashboard headliner clean fresh tips,car carpeting dashboard headliner tips
1841,1841,902000946078556160,help relief efforts matching users donations amp donating,help relief efforts users donations
1842,1842,901872519401132034,make donation cross disaster relief help people affected disasters give checkout,donation cross disaster relief help people disasters checkout
1843,1843,901527195415453697,get code posteclipse delay coupon ends tonight pm pt,code posteclipse delay coupon pm pt
1844,1844,901504589119279108,taking ig today live pop garage goodguys west coast natio,today pop garage goodguys coast natio
1845,1845,901451710094331905,kinds treats kinds pups happy furry best friends,kinds treats kinds furry friends
1846,1846,901225196656484353,chance wonder woman origin story ends august portion proceeds benefit,chance wonder woman story portion proceeds
1847,1847,901198651095105537,says best time sell iphone probably get money ebay,time iphone money ebay
1848,1848,901172388339097600,ready set sell summer sell old console get new ps pro details,set summer console pro details
1849,1849,901083764259823617,leave style expert share college must haves know needed,style expert share college
1850,1850,900927233090605057,crew taking mustang build whole new level latest look,crew level look
1851,1851,900764755224399872,new year new backpack check kid approved styles starting,year backpack check kid styles
1852,1852,900726936879738881,loving limited edition adidas yeezy boost sold stores check ebay,edition adidas boost stores ebay
1853,1853,900477015559741441,give shopping asst ebay shopbot try amp give free gift choice supplies last,shopping asst ebay shopbot try gift choice supplies
1854,1854,900417435744030721,headed back school got covered coupon college essentials,school coupon college essentials
1855,1855,900357032917651456,selling list ship sell four top categories,list ship categories
1856,1856,900190889712267266,never enough shoes right enter new season shop summer fall shoes starting,shoes season shop summer fall shoes
1857,1857,900075432019709952,vip tix walk role scorsese film exclusive experiences benefit,vip tix role film experiences
1858,1858,900062565417472001,rt time herstory lesson learn comics tell origin story available https,rt time lesson comics story https
1859,1859,899696378682757120,light amp functional made sun statement piece great trips running errands got covered,amp statement piece trips errands
1860,1860,899630055873269762,college like nobody else download checklist forget essentials,college nobody checklist forget essentials
1861,1861,898979609672339456,live woodward dream cruise mustang pop garage,woodward dream cruise mustang pop garage
1862,1862,898673386368495617,excited show progress fastback amp learn woodward dream cruise,show progress fastback amp dream cruise
1863,1863,898602331448541185,designing paint scheme fastback daunting task luckily,paint scheme fastback task
1864,1864,898537497491320832,chill hot weather summer essentials check ebay,chill weather summer essentials ebay
1865,1865,898292121874059265,meet wonder woman three outstanding graded comic books bid chance piece story,meet wonder woman books chance piece story
1866,1866,897948604819804161,psst give shopping asst ebay shopbot try amp give free gift choice supplies last,psst asst ebay shopbot try gift choice supplies
1867,1867,897917644464152583,wednesday white piano formerly owned king rock roll,piano rock roll
1868,1868,897903096004739076,home run derby winner amp chance signed baseball gift card,home run winner chance baseball gift card
1869,1869,897827831803203584,leave style legacy school six outfits every collegiate occasion,style legacy school outfits collegiate occasion
1870,1870,897484297866629120,winch get sticky situation install one,winch situation
1871,1871,897457927174410244,college students want deals items need know shortcut class,college students deals items class
1872,1872,897203566888333312,rt research like journalist former reporter uncovers stories behind every items sells https,research journalist reporter uncovers stories items https
1873,1873,897178547550400513,upcoming might biggest astronomical event decade get ready right way,event decade way
1874,1874,897111850588024832,shop need best year yet save select school essentials,shop need year school essentials
1875,1875,896808642485288961,elvis piano left building going highest bidder details,piano building bidder details
1876,1876,896448896456687617,go behind scenes office amp meet friends ebay tech incubator ny startups,office amp meet friends incubator ny startups
1877,1877,896386244862767104,partnered world elephant day raising trunks combat wildlife trafficking join us,world elephant day trunks combat wildlife join
1878,1878,896089428526891008,rt overnight wall street journal ran story situation occurred omitted important fact,rt street journal story situation fact
1879,1879,896069074261729280,fastback headed woodward dream cruise next week celebrating favorite,fastback dream cruise week
1880,1880,895993353833263104,piece history proceeds benefit honor diem brown,piece history proceeds diem brown
1881,1881,895894958858743810,world class resto like needs world class parts went amp restoration parts,world class resto needs world class parts restoration parts
1882,1882,895751664258437121,sprint seminars style must sneakers,sprint seminars style
1883,1883,895682082403495936,students use funds supplies save bag fill however want,students funds supplies bag fill
1884,1884,895394130582306816,rt joins forces amp protect elephants trafficking,rt forces elephants
1885,1885,895321314612854784,love layer later shop summer fall trends zara gap starting,love layer summer fall gap
1886,1886,895117471614738432,love money back guarantee get item ordered get money back,money guarantee get item money
1887,1887,895035725187489796,rt searches jerseys spiked former player announced move http,rt searches player move http
1888,1888,894928731231461376,spin way big savings today top back school deals like portable touring record player,way savings today school deals touring record player
1889,1889,894672020671275009,get ready best year yet cool first day looks,year day looks
1890,1890,894622949394841600,detail car mins less keep car looking factory fresh time saving secrets,detail car car factory time secrets
1891,1891,894574199007842304,browse selection items chosen roman williams buildings amp interiors,browse selection items williams buildings interiors
1892,1892,894256838207733765,new supersonic hair dryer takes blowout whole new level refurbished models,hair dryer level models
1893,1893,893879376869249025,quentin tarantino death proof challenger back ebay,quentin tarantino death proof challenger ebay
1894,1894,893563602233425921,meet mustang master bringing fastback vision life,meet mustang fastback vision life
1895,1895,893441430139654145,ready set sell summer sell old console get new ps pro details,set summer console pro details
1896,1896,893267769323552769,hit books without breaking bank great study buddies every budget,hit books bank study buddies budget
1897,1897,893237584381476865,sell new shop tech fashion,shop tech fashion
1898,1898,893165837372112897,comes going back school one kicks gear like kid,school kid
1899,1899,893101671429140481,athleisure wear great gym brunch think,athleisure gym brunch
1900,1900,892935584267808769,find unique style never choices discover ebay fashion,style discover fashion
1901,1901,892869867761750019,shop like nobody else go back college like nobody else,shop nobody college nobody
1902,1902,892739291989848064,new consignment center makes selling collectibles easier ever give try,consignment center collectibles try
1903,1903,892616963947610115,rt day auctioning vip concert ticket packages jack show waikiki shell sat https,day vip concert ticket packages show waikiki shell https
1904,1904,892586045916577792,owner wonder woman origin story outstanding graded comic books auction,owner woman story books auction
1905,1905,892376896729522177,find makes kick like nobody else campus,find nobody campus
1906,1906,892127795631071233,semester way shop college needs,semester way shop college needs
1907,1907,892086234104901632,fits elevator pounds mpg world smallest car,fits pounds world car
1908,1908,892054615927250944,thank community voting winners read inspirational stories,thank community winners stories
1909,1909,891720118077718530,let love music inspire shop support ends august,music inspire shop support
1910,1910,891063244609265664,weekend fun like box arrived thanks sharing,weekend fun box thanks
1911,1911,891017947388555265,says favorite term search looking new restoration vehicle,term search restoration vehicle
1912,1912,890912281781035008,coming soon sneak peek find ebay amp image search,find ebay image search
1913,1913,890677602884751361,support social justice transgender people benefit,support justice transgender people
1914,1914,890632965469884416,tried worth tool find value item looking buy sell,tool value item buy sell
1915,1915,890576294622179328,shop like nobody else find deals ebay make,shop nobody deals
1916,1916,890406437658218497,referenced vin vehicle identification number amp cracked code learn fastback,vehicle identification number amp code learn fastback
1917,1917,890330990727528448,discover trends best sellers find treasures worth stay informed ebay explore,sellers treasures stay
1918,1918,890275945902252036,hi love help please email us press com,hi help com
1919,1919,890270555940716545,limited edition prints recreating portraits objects using verse prose,edition prints portraits objects verse prose
1920,1920,890250172428689408,know like nobody else shop like nobody else,know nobody shop nobody
1921,1921,890044023804633088,see easy add light bar rig bold new look friends brooklyn motor works,bar rig look motor works
1922,1922,889953417681969152,kind fashion,kind fashion
1923,1923,889855299347197952,partnered bring summer essentials need summer right one fav,bring summer essentials summer fav
1924,1924,889560896506408960,summertime whites must tip mixing shades beige cream khaki soft metallic,summertime whites shades cream khaki metallic
1925,1925,889492899045552129,find perfect pack stand pack go back school like nobody else,pack stand pack school nobody
1926,1926,889168364538613761,love money back guarantee get item ordered get money back,money guarantee get item money
1927,1927,888473726597181441,catch maxlider bros burning rubber latest ad read love affair bronco,catch maxlider bros rubber ad read affair bronco
1928,1928,888460303133954048,oh money back guarantee covers days past delivery past need file,money guarantee days delivery need file
1929,1929,888409500352483328,sell new shop tech fashion,shop tech fashion
1930,1930,888232090973634560,go ahead browse highly sought collection ebay know want,collection ebay
1931,1931,888133953437278209,chance wonder woman origin story exclusively ebay,chance wonder woman story
1932,1932,888096289489117184,crucial parts installed amp team recently like cobra jet read,parts team cobra jet read
1933,1933,888050964388884481,blast space exploration live auction starts,blast space exploration auction starts
1934,1934,887873529630253056,rt meet lucky winner espys sweepstakes hosted charity,meet winner espys sweepstakes charity
1935,1935,887810681592000513,make year get hands desired convention collectibles ebay,year hands convention collectibles
1936,1936,887801078539993088,rt users geeking explore page,rt users page
1937,1937,887718991287988226,grab pair new converse one star tyler creator check ebay,grab converse star tyler creator check ebay
1938,1938,887659548982497281,got taste style amp dorm room go gear totally new totally,taste style amp dorm room
1939,1939,887440617671987202,state make top bought car share story comments,state bought car share story comments
1940,1940,887375193357897730,partnered auction artifacts apollo moon landing begins register,auction artifacts moon landing register
1941,1941,887318573240246272,bold summer prints flowy silhouettes makes summer look feel pretty shop,summer prints silhouettes summer look shop
1942,1942,887054405052268544,college like nobody else save campus ready items unique,college nobody campus items
1943,1943,887008030612697089,friends turned ebay find fun new items help achieve best summer self,friends find items summer self
1944,1944,886676862705041409,hours start season let hear theories think going,hours season let theories
1945,1945,886249068888023041,kid unique amp unrivaled get everything need go back school like nobody else,kid amp everything need school nobody
1946,1946,885906863644188672,welcome shop one kind furnishings art around world,welcome shop kind furnishings world
1947,1947,885861583141974016,team revealed new engine amp transmission ford mustang fastback,team engine transmission ford fastback
1948,1948,885598692945932288,chance win exclusive access sporting events one kind items proceeds,chance access events kind items proceeds
1949,1949,885558380848443392,women ages want money shop means shirt every mood,women ages money shop mood
1950,1950,885238610320076800,experience wonders amp attractions disney new pandora attraction vip experience bid,experience wonders attractions pandora attraction experience bid
1951,1951,885219737076215808,michael kay giving away tix game four guests,michael kay game guests
1952,1952,885197100216201219,bid amp one first find legend continues premier last jedi,bid jedi
1953,1953,885183605693009921,cool sweepstakes winners,sweepstakes winners
1954,1954,885181770999635968,yes meet host actual conversation one best qbs time,meet host conversation qbs time
1955,1955,885180850173755392,wait winner sweeps gets meet host espys,wait winner sweeps host espys
1956,1956,885179495430234113,many people get go backstage stage sit production room sample craft services meet host,people backstage stage sit production room sample craft services meet host
1957,1957,885177977352314880,want come next year one kind experience fav athletes still time,come year kind experience fav athletes time
1958,1958,885175577874804736,wonder behind doors magic happens,wonder doors happens
1959,1959,885170666596478976,presenting winners first sweepstakes michael anna tampa,winners michael anna tampa
1960,1960,885169134262202371,got passes ebay team excited go behind scenes today sweepstakes,passes team scenes today sweepstakes
1961,1961,885152000534601728,trip bristol campus attend live broadcast nfl countdown live bid,trip bristol campus broadcast bid
1962,1962,885136778377777152,experience majesty wimbledon famed centre court championships vip style,experience majesty wimbledon court championships style
1963,1963,885125358391054336,wed mags signed favorite athletes,mags athletes
1964,1964,885114044738412549,love college sports chance go behind scenes legendary coaches,college sports chance scenes coaches
1965,1965,885106536942641152,today takeover highlight auctions go behind scenes amp meet athletes red carpet,today takeover highlight auctions scenes meet athletes carpet
1966,1966,884944575252635648,still looking deal shares favs deals currently ebay,shares deals
1967,1967,884887552808955905,save dough got sweet deals everyone,dough deals everyone
1968,1968,884886390877544448,looking prime deal check ebay,deal check ebay
1969,1969,884876221049450497,deals good believe eyes checked ebay,deals eyes ebay
1970,1970,884865260292853760,found google home amp chromecast bundle guaranteed best deal,google home amp chromecast deal
1971,1971,884858602036637698,deal might totally jam shop deals,deal shop deals
1972,1972,884846019384668166,season get best deals new things totally,season deals things
